second,quic,tcp,orbit,pep,iw,loss
1.0,4147.664231049985,2551.9991526450685,leo,1,"10,100,100,10",10^0
2.0,4902.3673109856145,2364.501816277337,leo,1,"10,100,100,10",10^0
3.0,2290.2811919675996,1386.7583962542742,leo,1,"10,100,100,10",10^0
4.0,979.1038382538877,784.6972515536968,leo,1,"10,100,100,10",10^0
5.0,399.1856856606604,548.7747924793541,leo,1,"10,100,100,10",10^0
6.0,265.96559151508166,455.84997009689675,leo,1,"10,100,100,10",10^0
7.0,209.36302694910844,486.366598481524,leo,1,"10,100,100,10",10^0
8.0,148.8187528979855,444.919594951458,leo,1,"10,100,100,10",10^0
9.0,150.16564397015227,395.84475749869404,leo,1,"10,100,100,10",10^0
10.0,206.98403127051353,417.3308338476667,leo,1,"10,100,100,10",10^0
11.0,239.2574789717525,410.2499943073677,leo,1,"10,100,100,10",10^0
12.0,352.7978690526664,396.30273400382725,leo,1,"10,100,100,10",10^0
13.0,490.26681903349237,344.20517780144405,leo,1,"10,100,100,10",10^0
14.0,441.34878185013406,349.3388946556315,leo,1,"10,100,100,10",10^0
15.0,355.25270205796795,349.2335426909645,leo,1,"10,100,100,10",10^0
16.0,224.8001828315555,266.6156506677765,leo,1,"10,100,100,10",10^0
17.0,228.46009657074256,318.5948397949012,leo,1,"10,100,100,10",10^0
18.0,176.72891940693088,325.7001966152787,leo,1,"10,100,100,10",10^0
19.0,172.32861322570233,285.180528205259,leo,1,"10,100,100,10",10^0
20.0,247.3388903324905,176.81418044288915,leo,1,"10,100,100,10",10^0
21.0,347.3986710671155,206.32349870154738,leo,1,"10,100,100,10",10^0
22.0,180.66074590329688,205.8096305972608,leo,1,"10,100,100,10",10^0
23.0,127.00831823979551,205.52559908263558,leo,1,"10,100,100,10",10^0
24.0,104.65518928016283,223.65374592443723,leo,1,"10,100,100,10",10^0
25.0,147.95304259268278,207.15050622411923,leo,1,"10,100,100,10",10^0
26.0,182.79317227480936,142.37877984848532,leo,1,"10,100,100,10",10^0
27.0,161.6148588681333,106.037329932694,leo,1,"10,100,100,10",10^0
28.0,135.27598236640554,133.06532239003803,leo,1,"10,100,100,10",10^0
29.0,167.25062075650584,170.07208873687006,leo,1,"10,100,100,10",10^0
30.0,88.78206129336928,136.99952325897473,leo,1,"10,100,100,10",10^0
1.0,1472.617576682198,917.456931060657,geo,1,"10,100,100,10",10^0
2.0,1959.7197362889901,1008.3976365793465,geo,1,"10,100,100,10",10^0
3.0,1794.4018610093085,1084.5852154575718,geo,1,"10,100,100,10",10^0
4.0,1315.366718231472,976.1195153267496,geo,1,"10,100,100,10",10^0
5.0,987.395803665055,558.797179697177,geo,1,"10,100,100,10",10^0
6.0,737.2547353331064,425.08532305851287,geo,1,"10,100,100,10",10^0
7.0,561.954151921305,306.4403288740903,geo,1,"10,100,100,10",10^0
8.0,489.112844588796,242.20556881316878,geo,1,"10,100,100,10",10^0
9.0,396.79324878931885,191.3381657371016,geo,1,"10,100,100,10",10^0
10.0,355.81645412269273,179.11565019915858,geo,1,"10,100,100,10",10^0
11.0,341.7945430043879,186.0826992147875,geo,1,"10,100,100,10",10^0
12.0,276.44731854403085,171.68111153382168,geo,1,"10,100,100,10",10^0
13.0,253.2409607840341,153.28038159345508,geo,1,"10,100,100,10",10^0
14.0,231.4748588271743,161.62687219846114,geo,1,"10,100,100,10",10^0
